cellid,cellname,mptLat,mptLon,mptX,mptY,mptZ,UTMzone,c_a_erg,c_cap_mean,c_cap_med,c_cap_sig
318,c.318,24.60268261,120.9505363,292.5,2722.5,25,51N,-0.008798,-0.9680543411109767,-0.49900795979953805,1.4131184370275278
319,c.319,24.73806782,120.948322,292.5,2737.5,25,51N,-0.008798,-1.1634174300872544,-0.3552560278848521,1.4373555966716323
320,c.320,24.8734504,120.9460916,292.5,2752.5,25,51N,-0.008798,-1.569300600352709,-0.8517970127505563,1.3642298170840879
325,c.325,21.89615089,121.1366592,307.5,2422.5,25,51N,-0.008798,-1.315571279653,-1.1299744514041192,1.3024079441266767
326,c.326,22.03159792,121.1348914,307.5,2437.5,25,51N,-0.008798,-1.6370457211966383,-1.187822105486202,1.611373565899193
327,c.327,22.16704257,121.13311,307.5,2452.5,25,51N,-0.008798,-1.3825375238462674,-0.32418603294144055,2.285303446076925
328,c.328,22.30248484,121.1313147,307.5,2467.5,25,51N,-0.008798,-2.6221221557072965,-1.965952953846883,2.430161055659559
329,c.329,22.43792471,121.1295056,307.5,2482.5,25,51N,-0.008798,-0.8634045625482487,-0.21271548761247253,1.8101839391337924
330,c.330,22.57336217,121.1276826,307.5,2497.5,25,51N,-0.008798,-0.30319713508245394,-0.23646372382867048,0.2736619650064828
331,c.331,22.70879721,121.1258456,307.5,2512.5,25,51N,-0.008798,-0.5084451838827805,-0.23258825332864466,0.6861197693114249
332,c.332,22.84422981,121.1239945,307.5,2527.5,25,51N,-0.008798,-1.6354164437083873,-0.4471007017767209,1.928883750628529
333,c.333,22.97965997,121.1221293,307.5,2542.5,25,51N,-0.008798,-1.2215643370010536,-0.5956041877929211,1.5167850757077714
334,c.334,23.11508767,121.12025,307.5,2557.5,25,51N,-0.008798,-0.42746390661162986,-0.3572613371158075,0.40430408753836666
335,c.335,23.2505129,121.1183564,307.5,2572.5,25,51N,-0.008798,-0.6156987972270042,-0.26064522558566716,1.1589233691416714
336,c.336,23.38593565,121.1164486,307.5,2587.5,25,51N,-0.008798,-0.7074534329203612,-0.43794332484588605,0.646656328322509
337,c.337,23.52135591,121.1145264,307.5,2602.5,25,51N,-0.008798,-0.308416231684054,-0.25646965764101975,0.22237147591483714
338,c.338,23.65677367,121.1125897,307.5,2617.5,25,51N,-0.008798,-0.7035907733679154,-0.18002468819492698,1.3543784230414342
339,c.339,23.79218891,121.1106386,307.5,2632.5,25,51N,-0.008798,-0.7284125346439276,-0.4412749552000899,1.136945509080823
340,c.340,23.92760162,121.1086729,307.5,2647.5,25,51N,-0.008798,-1.9379055465363468,-0.5914866572599817,2.3382917156081993
341,c.341,24.06301179,121.1066926,307.5,2662.5,25,51N,-0.008798,-0.2523310175749415,-0.1701980234172013,0.21507552347850548
342,c.342,24.19841941,121.1046976,307.5,2677.5,25,51N,-0.008798,-1.1220780782596593,-0.39804778770636234,1.3129369424415234
343,c.343,24.33382448,121.1026878,307.5,2692.5,25,51N,-0.008798,-1.091707294946188,-0.5473703415133331,1.6177429659845295
344,c.344,24.46922697,121.1006632,307.5,2707.5,25,51N,-0.008798,-1.1986898804780144,-0.39175376143685925,1.3959834008103515
345,c.345,24.60462687,121.0986237,307.5,2722.5,25,51N,-0.008798,-0.33392155235606247,-0.34875554759302074,0.19824475988438886
346,c.346,24.74002418,121.0965692,307.5,2737.5,25,51N,-0.008798,-0.46681177377168465,-0.5858081741642635,0.31023449973257267
347,c.347,24.87541888,121.0944997,307.5,2752.5,25,51N,-0.008798,-1.0098030799200945,-0.8008157162802045,1.298191333352576
348,c.348,25.01081097,121.0924151,307.5,2767.5,25,51N,-0.008798,-1.3477177486428877,-1.3244805459879254,0.9962700787804074
352,c.352,21.89773028,121.2818027,322.5,2422.5,25,51N,-0.008798,-2.788290138403105,-2.5792884863104164,2.509333245451892
353,c.353,22.03318807,121.2801725,322.5,2437.5,25,51N,-0.008798,-1.9615652128914793,-0.5189154205896821,2.492377799996346
354,c.354,22.16864351,121.2785296,322.5,2452.5,25,51N,-0.008798,-1.2256559851763014,-0.720047547716973,1.6373158411199207
355,c.355,22.30409658,121.276874,322.5,2467.5,25,51N,-0.008798,-0.28605998012245126,-0.25135849424164547,0.17986067541657944
356,c.356,22.43954728,121.2752056,322.5,2482.5,25,51N,-0.008798,-2.103642584587358,-1.53277449223827,1.744413951543207
357,c.357,22.57499558,121.2735244,322.5,2497.5,25,51N,-0.008798,-0.749292750280629,-0.46849859897975854,1.0849392050784246
358,c.358,22.71044149,121.2718303,322.5,2512.5,25,51N,-0.008798,-1.0670975521062913,-0.5891735652149996,1.420049711905931
359,c.359,22.84588498,121.2701233,322.5,2527.5,25,51N,-0.008798,-0.6782614498878958,-0.3179991326628535,0.8929216181187707
360,c.360,22.98132605,121.2684032,322.5,2542.5,25,51N,-0.008798,-1.685001205706286,-0.7032847974505498,1.9772185386508716
361,c.361,23.11676468,121.2666701,322.5,2557.5,25,51N,-0.008798,-0.8683539429000197,-0.3844390744615662,0.9488072689284001
362,c.362,23.25220086,121.2649238,322.5,2572.5,25,51N,-0.008798,-0.26106132116840236,-0.22083200362493874,0.24133919258060854
363,c.363,23.38763458,121.2631644,322.5,2587.5,25,51N,-0.008798,-1.6160211376206326,-0.16740070202649762,2.4010965178214585
364,c.364,23.52306584,121.2613917,322.5,2602.5,25,51N,-0.008798,-1.8925745006740033,-0.7847180512946752,1.9275691786972533
365,c.365,23.65849461,121.2596057,322.5,2617.5,25,51N,-0.008798,-0.47990315744723827,-0.2396335536440261,0.9670843821662589
366,c.366,23.79392088,121.2578063,322.5,2632.5,25,51N,-0.008798,-0.7267303478886598,-0.30977037104568345,1.3325556965003216
367,c.367,23.92934465,121.2559936,322.5,2647.5,25,51N,-0.008798,-0.5553936612577336,-0.5858972591257272,0.3676827510910004
368,c.368,24.06476591,121.2541673,322.5,2662.5,25,51N,-0.008798,-0.7757732022092622,-0.2566236265042356,1.10511811110621
369,c.369,24.20018464,121.2523275,322.5,2677.5,25,51N,-0.008798,-0.6451956911436445,-0.18321395261408047,0.755541976842893
370,c.370,24.33560083,121.2504741,322.5,2692.5,25,51N,-0.008798,-1.0639666769163312,-0.1907198739099185,1.300545179391164
371,c.371,24.47101447,121.248607,322.5,2707.5,25,51N,-0.008798,-0.976879672912137,-0.5573108293935849,1.0331000341222794
372,c.372,24.60642555,121.2467261,322.5,2722.5,25,51N,-0.008798,-0.39477282148805193,-0.26260924336795266,0.3763191358988085
373,c.373,24.74183405,121.2448315,322.5,2737.5,25,51N,-0.008798,-1.9865196180068072,-0.30414622704441935,2.498293670523823
374,c.374,24.87723998,121.242923,322.5,2752.5,25,51N,-0.008798,-0.4954434406937616,-0.297288468211657,0.5341718906083935
375,c.375,25.01264331,121.2410005,322.5,2767.5,25,51N,-0.008798,-0.9146053709588434,-0.45766701636090845,1.3068342697801154
376,c.376,25.14804404,121.239064,322.5,2782.5,25,51N,-0.008798,-1.8471842577803532,-1.5977341934792362,1.644711099636207
380,c.380,22.03464947,121.4254661,337.5,2437.5,25,51N,-0.008798,-1.2157458549239961,-0.8929252506830965,0.9771307072184937
381,c.381,22.17011482,121.4239619,337.5,2452.5,25,51N,-0.008798,-2.254393204152838,-0.8407347143011593,2.464651862208018
382,c.382,22.30557782,121.4224461,337.5,2467.5,25,51N,-0.008798,-0.3379425140702602,-0.17196331433323148,0.31844300276904064
383,c.383,22.44103847,121.4209185,337.5,2482.5,25,51N,-0.008798,-1.2432269263768714,-0.7407805625306315,1.2230320180347767
384,c.384,22.57649674,121.4193791,337.5,2497.5,25,51N,-0.008798,-0.34922358073095167,-0.25855476871787675,0.398499751338378
385,c.385,22.71195263,121.417828,337.5,2512.5,25,51N,-0.008798,-2.013610817652154,-0.4398994007994159,1.99062492720847
386,c.386,22.84740613,121.416265,337.5,2527.5,25,51N,-0.008798,-0.2061249563012721,-0.19785672279460262,0.13673895687344695
387,c.387,22.98285722,121.4146901,337.5,2542.5,25,51N,-0.008798,-0.3524052324519654,-0.3882532287523136,0.23713695222412198
388,c.388,23.1183059,121.4131032,337.5,2557.5,25,51N,-0.008798,-0.2920078369012998,-0.25257968812295595,0.346549732602361
389,c.389,23.25375214,121.4115043,337.5,2572.5,25,51N,-0.008798,-0.5737671485798324,-0.37688804524340064,0.7300042074217695
390,c.390,23.38919595,121.4098934,337.5,2587.5,25,51N,-0.008798,-0.6770441364690317,-0.2781490992010659,1.0752676707622277
391,c.391,23.52463731,121.4082703,337.5,2602.5,25,51N,-0.008798,-0.33621396168782286,-0.33880676842035706,0.22028911908881132
392,c.392,23.6600762,121.406635,337.5,2617.5,25,51N,-0.008798,-1.0062415427138112,-0.47272512484428375,1.76175097395257
393,c.393,23.79551262,121.4049875,337.5,2632.5,25,51N,-0.008798,-0.23322827627669435,-0.20785460974304404,0.15435879548343856
394,c.394,23.93094656,121.4033277,337.5,2647.5,25,51N,-0.008798,-0.47659634701785675,-0.4606509007971918,0.3214406620429282
395,c.395,24.066378,121.4016556,337.5,2662.5,25,51N,-0.008798,-0.7363744883008738,-0.39267391595992246,1.0070944124848527
396,c.396,24.20180693,121.399971,337.5,2677.5,25,51N,-0.008798,-0.91216679191929,-0.6621517566148711,1.1405902274525979
397,c.397,24.33723335,121.398274,337.5,2692.5,25,51N,-0.008798,-0.5997174965298839,-0.2104748465707999,1.3697638980957154
398,c.398,24.47265724,121.3965645,337.5,2707.5,25,51N,-0.008798,-0.42433825894966015,-0.5595696392712364,0.2954027705169747
399,c.399,24.60807859,121.3948423,337.5,2722.5,25,51N,-0.008798,-0.3516676408363252,-0.15335871936911694,0.3578249181220095
400,c.400,24.74349739,121.3931076,337.5,2737.5,25,51N,-0.008798,-0.4755368482527623,-0.17221030953950334,0.566204760976921
401,c.401,24.87891362,121.3913601,337.5,2752.5,25,51N,-0.008798,-1.026656216761748,-0.2943757813700736,1.1385772978392614
402,c.402,25.01432729,121.3895999,337.5,2767.5,25,51N,-0.008798,-0.6310902142541664,-0.48087637058812016,0.5578519205227609
403,c.403,25.14973837,121.3878268,337.5,2782.5,25,51N,-0.008798,-1.0506433015037804,-0.8726629616464189,0.9338308048344495
407,c.407,22.03598206,121.5707714,352.5,2437.5,25,51N,-0.008798,-0.7371248964639293,-0.7284403950640361,0.57671454137256
408,c.408,22.17145645,121.5694059,352.5,2452.5,25,51N,-0.008798,-1.923031381833504,-1.8442743374133785,1.404900283571765
409,c.409,22.30692851,121.5680298,352.5,2467.5,25,51N,-0.008798,-1.5679254660421909,-0.6122687076345985,1.5627416585261955
410,c.410,22.44239823,121.5666431,352.5,2482.5,25,51N,-0.008798,-0.9713736765329724,-0.6898989799081207,0.8601981612797028
411,c.411,22.57786559,121.5652457,352.5,2497.5,25,51N,-0.008798,-2.642263275326612,-1.5993224673508684,2.776676462141783
412,c.412,22.71333059,121.5638376,352.5,2512.5,25,51N,-0.008798,-0.7181695649606007,-0.15621995170236058,1.4513177630610454
413,c.413,22.84879321,121.5624187,352.5,2527.5,25,51N,-0.008798,-0.2788859160760847,-0.28298301301324114,0.1550379372645582
414,c.414,22.98425345,121.560989,352.5,2542.5,25,51N,-0.008798,-0.7181207314991372,-0.40433028684842975,1.231499117285645
415,c.415,23.11971128,121.5595484,352.5,2557.5,25,51N,-0.008798,-1.5790098923025624,-0.7072426238541762,1.9193890653934078
