Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[98]     0.24     nan   0.58    -0.6   -0.12    0.13    0.81     1.12    nan   3.45
dc_1bs[99]    -0.18     0.4   0.84   -1.76   -0.48    0.15    0.49     1.28      5   1.49
dc_1bs[100]    0.57     nan   0.86   -0.41   -0.34    0.54    1.39     1.94    nan   5.63
dc_1bs[101]   -0.25     nan   1.18   -1.77   -1.49   -0.72    0.64     1.63    nan   2.74
dc_1bs[102]   -0.41     nan   0.63   -1.48   -0.88   -0.23    0.03      0.3    nan    8.0
dc_1bs[103]    0.17     nan   0.72   -1.31   -0.42    0.52    0.81     1.04    nan   3.28
dc_1bs[104]   -0.72     nan   1.08   -1.75   -1.55   -0.97   -0.19      1.5    nan   3.57
dc_1bs[105]   -0.07     nan    0.9   -1.11   -0.87    -0.2    1.03     1.28    nan   4.05
dc_1bs[106]   -0.05     nan   0.97   -1.25   -0.92   -0.29    0.63     1.62    nan   2.33
dc_1bs[107]    0.06     nan   1.05   -1.14    -0.8   -0.28    1.14     1.74    nan   7.11
dc_1bs[108]   -0.38     nan   0.88   -1.39   -1.09   -0.46   -0.13     1.51    nan   3.51
dc_1bs[109]   -0.12    0.56   0.93    -2.0   -0.08    0.11    0.66     0.77      3   2.62
dc_1bs[110]    0.12     nan   0.49   -0.47   -0.45    0.01    0.62     0.84    nan   2.75
dc_1bs[111]   -0.11     nan   1.09   -1.95   -1.37    0.07    0.87     1.36    nan   2.31
dc_1bs[112]    0.04     nan   1.49   -2.43   -1.24   -0.81    1.67     1.87    nan   2.27
dc_1bs[113]   -1.05     nan   0.89   -1.98   -1.58   -1.23   -0.72     1.84    nan   1.18
dc_1bs[114]    0.14     nan   1.13   -1.58   -1.02    0.17    1.08     1.58    nan   3.93
dc_1bs[115]    0.83     0.7   1.14   -1.04   -0.27    1.62     1.8     1.93      3   2.46
dc_1bs[116]    0.17     nan   0.68   -0.67    -0.5    0.03    0.53     1.44    nan   3.12
dc_1bs[117]    0.88     nan   0.57    -0.4    0.21    0.96    1.38     1.75    nan   1.43
dc_1bs[118]    0.78     nan   0.59    0.14    0.33     0.6    1.31     1.75    nan   5.93
dc_1bs[119]   -0.18     nan   0.56   -1.54   -0.24    -0.1    0.21     0.57    nan   2.11
dc_1bs[120]   -0.27     nan   1.22    -1.9   -1.37   -0.65    0.95     1.44    nan   2.91
dc_1bs[121]   -0.17     nan    0.9   -1.31   -1.12   -0.22    0.71     1.23    nan   3.43
dc_1bs[122]   -0.27     nan   0.97   -1.83   -1.23    0.04    0.55     0.83    nan    7.1
dc_1bs[123]    -0.3     nan   0.99   -1.65   -1.34   -0.15   -0.06      1.4    nan   2.15
dc_1bs[124]   -0.62     nan   0.55   -1.28   -1.25   -0.44   -0.14     0.16    nan   3.47
dc_1bs[125]    0.54     nan   0.68   -0.22   -0.03    0.25    1.22      1.6    nan   5.68
dc_1bs[126]   -0.15     nan    0.7   -1.08   -0.65   -0.55    0.66     1.22    nan   1.99
dc_1bs[127]    1.01     nan   0.64   -0.36    0.32    1.07    1.44     2.18    nan   1.25
dc_1bs[128]    0.34     nan   1.37    -1.6   -0.91    0.46    1.34     2.31    nan   9.98
dc_1bs[129]   -0.08     nan    1.3   -2.12   -0.63   -0.49    1.34     1.93    nan   5.21
dc_1bs[130]   -0.56     nan   1.07   -1.91   -1.42   -0.98     0.7     1.13    nan   2.87
dc_1bs[131]   -0.29     nan   0.75   -1.49   -1.07    0.09    0.22     0.48    nan   5.39
dc_1bs[132]    0.31     nan   1.01   -0.95   -0.75    0.26    1.22     1.85    nan   5.51
